Player,FantPos,Predicted Fantasy Points,ESPN2025PPR
Christian McCaffrey,RB,303.0,322.0
Breece Hall,RB,240.5,233.4
Bijan Robinson,RB,327.61,336.3
Travis Etienne Jr.,RB,159.19,155.3
Jonathan Taylor,RB,291.38,296.2
Rachaad White,RB,136.65,130.2
Kyren Williams,RB,284.37,279.9
Joe Mixon,RB,254.31,254.9
Jahmyr Gibbs,RB,314.53,317.3
Saquon Barkley,RB,305.64,324.0
Derrick Henry,RB,276.25,280.9
Alvin Kamara,RB,264.8,265.2
James Cook,RB,264.61,268.7
Isiah Pacheco,RB,207.28,208.9
Raheem Mostert,RB,51.49,46.3
De'Von Achane,RB,291.43,305.3
Kenneth Walker III,RB,249.8,264.5
Josh Jacobs,RB,279.18,282.4
Tony Pollard,RB,206.26,219.5
David Montgomery,RB,215.49,213.5
James Conner,RB,261.1,262.1
Najee Harris,RB,143.92,117.9
D'Andre Swift,RB,225.46,225.1
Jaylen Warren,RB,180.72,194.9
Brian Robinson Jr.,RB,208.62,201.4
Zamir White,RB,40.0,40.0
Javonte Williams,RB,210.58,211.5
Austin Ekeler,RB,180.14,172.0
Jerome Ford,RB,106.73,104.7
Rhamondre Stevenson,RB,195.19,184.3
Devin Singletary,RB,45.39,40.0
Aaron Jones,RB,218.71,219.8
Gus Edwards,RB,47.15,40.0
Zack Moss,RB,57.97,68.2
Ezekiel Elliott,RB,41.06,40.0
Tyjae Spears,RB,147.85,148.1
Chuba Hubbard,RB,257.77,258.2
Tyler Allgeier,RB,83.42,97.8
Antonio Gibson,RB,24.14,10.2
Zach Charbonnet,RB,138.37,113.0
Blake Corum,RB,67.68,52.6
Ty Chandler,RB,36.51,40.0
Trey Benson,RB,81.41,113.6
Khalil Herbert,RB,38.32,40.0
Jaleel McLaughlin,RB,27.5,15.6
Alexander Mattison,RB,44.82,40.0
Chase Brown,RB,258.35,261.5
Rico Dowdle,RB,108.49,83.8
MarShawn Lloyd,RB,74.28,86.8
Samaje Perine,RB,30.59,31.6
AJ Dillon,RB,38.32,35.3
Ray Davis,RB,81.96,81.2
Roschon Johnson,RB,85.77,103.8
Justice Hill,RB,92.22,107.9
Miles Sanders,RB,46.4,44.2
Kenneth Gainwell,RB,22.95,12.9
Bucky Irving,RB,272.88,283.0
Braelon Allen,RB,76.01,84.0
Tyrone Tracy Jr.,RB,192.58,197.1
Clyde Edwards-Helaire,RB,32.18,28.0
D'Onta Foreman,RB,40.47,40.0
Dameon Pierce,RB,42.54,40.0
Jamaal Williams,RB,40.11,40.0
Kendre Miller,RB,71.63,81.1
Keaton Mitchell,RB,37.59,27.9
Jaylen Wright,RB,66.6,73.0
Emari Demercado,RB,34.7,26.9
Elijah Mitchell,RB,31.15,25.4
Carson Steele,RB,53.67,40.0
Audric Estime,RB,56.14,40.0
Chase Edmonds,RB,39.51,40.0
Ashton Jeanty,RB,285.73,299.9
RJ Harvey,RB,193.06,218.8
TreVeyon Henderson,RB,151.07,206.5
Omarion Hampton,RB,226.22,239.8
Quinshon Judkins,RB,175.83,145.7
Bhayshul Tuten,RB,151.07,63.7
Kaleb Johnson,RB,175.83,217.3
Kareem Hunt,RB,99.07,96.8
Cam Skattebo,RB,151.07,155.2
Jaydon Blue,RB,62.67,79.4
Isaac Guerendo,RB,81.43,87.1
Jordan Mason,RB,131.09,118.8
Tank Bigsby,RB,134.66,130.5
Dylan Sampson,RB,62.67,92.9
Ty Johnson,RB,60.1,54.6
Woody Marks,RB,61.03,36.4
Trevor Etienne,RB,62.67,21.7
CeeDee Lamb,WR/TE,304.82,314.7
Tyreek Hill,WR/TE,251.09,262.7
Amon-Ra St. Brown,WR/TE,285.1,290.4
Puka Nacua,WR/TE,302.56,321.4
A.J. Brown,WR/TE,264.05,275.2
Ja'Marr Chase,WR/TE,333.78,353.0
Mike Evans,WR/TE,239.87,239.4
Davante Adams,WR/TE,248.72,256.9
DJ Moore,WR/TE,245.41,238.0
Stefon Diggs,WR/TE,188.56,200.5
Nico Collins,WR/TE,268.76,277.6
Justin Jefferson,WR/TE,311.49,323.7
Marvin Harrison Jr.,WR/TE,216.8,240.4
Michael Pittman Jr.,WR/TE,188.9,182.8
Chris Olave,WR/TE,185.09,207.0
Keenan Allen,WR/TE,143.01,131.0
Brandon Aiyuk,WR/TE,111.0,103.3
Garrett Wilson,WR/TE,249.74,240.8
Deebo Samuel Sr.,WR/TE,171.48,200.8
DeVonta Smith,WR/TE,219.42,222.6
Sam LaPorta,WR/TE,179.36,191.6
DK Metcalf,WR/TE,211.67,240.1
Travis Kelce,WR/TE,185.65,175.8
Amari Cooper,WR/TE,118.08,131.0
Malik Nabers,WR/TE,270.21,299.8
Calvin Ridley,WR/TE,218.93,230.0
Cooper Kupp,WR/TE,200.44,204.6
Jaylen Waddle,WR/TE,187.46,225.7
Zay Flowers,WR/TE,240.49,232.2
Chris Godwin,WR/TE,177.59,191.5
George Pickens,WR/TE,214.56,219.4
Rashee Rice,WR/TE,197.72,206.5
Evan Engram,WR/TE,165.38,168.4
Drake London,WR/TE,255.47,267.1
Terry McLaurin,WR/TE,243.64,246.3
Tank Dell,WR/TE,0.0,0.0
Jayden Reed,WR/TE,189.67,181.3
DeAndre Hopkins,WR/TE,121.04,86.4
Jordan Addison,WR/TE,187.92,189.9
Mark Andrews,WR/TE,164.31,170.8
Adam Thielen,WR/TE,164.05,167.9
George Kittle,WR/TE,233.29,226.7
Jakobi Meyers,WR/TE,224.55,215.3
Trey McBride,WR/TE,261.65,259.6
David Njoku,WR/TE,170.69,173.1
Tyler Lockett,WR/TE,136.18,117.3
Courtland Sutton,WR/TE,229.43,227.3
Christian Kirk,WR/TE,105.49,110.5
T.J. Hockenson,WR/TE,171.43,183.7
Jake Ferguson,WR/TE,141.89,149.1
Tee Higgins,WR/TE,252.49,265.1
Ladd McConkey,WR/TE,253.02,261.8
Diontae Johnson,WR/TE,119.27,98.9
Xavier Worthy,WR/TE,205.42,238.5
Brian Thomas Jr.,WR/TE,270.95,270.5
Dalton Kincaid,WR/TE,115.39,147.2
Brandin Cooks,WR/TE,108.64,108.6
Romeo Doubs,WR/TE,115.39,130.3
Jaxon Smith-Njigba,WR/TE,244.38,243.4
Curtis Samuel,WR/TE,47.35,55.0
Kyle Pitts,WR/TE,116.2,142.4
Keon Coleman,WR/TE,159.92,191.2
Gabe Davis,WR/TE,89.95,50.0
Jerry Jeudy,WR/TE,239.34,227.3
Brock Bowers,WR/TE,270.99,257.2
Marquise Brown,WR/TE,117.86,156.9
Rashid Shaheed,WR/TE,139.34,184.8
Cole Kmet,WR/TE,83.79,44.2
Joshua Palmer,WR/TE,68.38,76.4
Dalton Schultz,WR/TE,116.31,121.3
Josh Downs,WR/TE,191.71,163.5
Dallas Goedert,WR/TE,123.63,156.6
Ja'Lynn Polk,WR/TE,36.67,8.0
Christian Watson,WR/TE,99.37,39.9
Khalil Shakir,WR/TE,184.8,206.7
Wan'Dale Robinson,WR/TE,164.61,151.9
Adonai Mitchell,WR/TE,93.09,78.2
Darius Slayton,WR/TE,104.32,114.6
Demario Douglas,WR/TE,138.09,112.7
Tyler Boyd,WR/TE,58.16,0.0
Dontayvion Wicks,WR/TE,83.84,21.6
Taysom Hill,WR/TE,100.41,100.0
Tyler Conklin,WR/TE,105.26,81.8
Michael Wilson,WR/TE,115.44,116.0
Jameson Williams,WR/TE,231.8,218.6
Hunter Henry,WR/TE,138.48,145.9
DJ Chark,WR/TE,23.73,0.0
Cade Otton,WR/TE,137.76,140.1
Tim Patrick,WR/TE,95.57,49.3
Chigoziem Okonkwo,WR/TE,119.73,144.4
Elijah Moore,WR/TE,54.39,45.3
Darnell Mooney,WR/TE,175.1,170.9
Kendrick Bourne,WR/TE,43.3,50.0
Josh Reynolds,WR/TE,88.49,111.8
Pat Freiermuth,WR/TE,143.94,133.8
Jalen McMillan,WR/TE,113.98,98.4
Jonnu Smith,WR/TE,154.88,135.0
Demarcus Robinson,WR/TE,82.5,47.0
Jahan Dotson,WR/TE,34.58,25.8
Mike Williams,WR/TE,0.0,0.0
Ricky Pearsall,WR/TE,152.14,189.4
Juwan Johnson,WR/TE,111.23,113.9
Rashod Bateman,WR/TE,119.01,133.5
Quentin Johnston,WR/TE,161.05,157.6
Isaiah Likely,WR/TE,87.13,112.7
Luke Musgrave,WR/TE,24.03,34.4
Gerald Everett,WR/TE,12.39,0.0
Tyler Higbee,WR/TE,111.91,124.1
Noah Fant,WR/TE,68.49,0.0
Ben Sinnott,WR/TE,88.97,56.0
Marvin Mims Jr.,WR/TE,128.51,149.0
K.J. Osborn,WR/TE,22.58,0.0
Trey Palmer,WR/TE,10.3,1.7
Tutu Atwell,WR/TE,83.2,95.4
Alec Pierce,WR/TE,87.34,72.5
Tucker Kraft,WR/TE,129.37,160.6
Nelson Agholor,WR/TE,26.13,0.0
Kalif Raymond,WR/TE,22.35,27.2
Mike Gesicki,WR/TE,133.45,137.1
Ja'Tavion Sanders,WR/TE,111.58,101.9
Noah Brown,WR/TE,77.57,76.4
Michael Mayer,WR/TE,74.49,71.7
Kylen Granson,WR/TE,70.25,40.0
Colby Parkinson,WR/TE,68.38,19.7
Dawson Knox,WR/TE,30.78,47.1
Tanner Hudson,WR/TE,13.67,30.2
Tommy Tremble,WR/TE,43.15,51.2
Noah Gray,WR/TE,60.89,68.7
Daniel Bellinger,WR/TE,14.04,16.6
Jaheim Bell,WR/TE,40.25,40.0
Rondale Moore,WR/TE,64.25,24.1
Travis Hunter,WR/TE,159.19,213.0
Rome Odunze,WR/TE,192.82,217.0
Nick Westbrook-Ikhine,WR/TE,103.62,120.0
Tetairoa McMillan,WR/TE,159.19,213.7
Matthew Golden,WR/TE,159.19,205.5
Calvin Austin III,WR/TE,85.7,89.4
Jack Bech,WR/TE,159.19,118.0
Emeka Egbuka,WR/TE,132.86,143.1
Jalen Tolbert,WR/TE,86.77,69.7
Luther Burden III,WR/TE,147.46,116.2
Jalen Coker,WR/TE,45.77,73.8
Xavier Legette,WR/TE,130.54,155.5
Tre Tucker,WR/TE,88.04,62.4
Cedric Tillman,WR/TE,114.78,163.3
Kayshon Boutte,WR/TE,95.16,0.0
Ray-Ray McCloud,WR/TE,131.48,108.9
Jayden Higgins,WR/TE,159.19,166.0
Jaylin Noel,WR/TE,72.6,65.2
Andrei Iosivas,WR/TE,85.7,81.8
Zach Ertz,WR/TE,141.9,140.0
Tyler Warren,WR/TE,132.86,145.5
Colston Loveland,WR/TE,147.46,155.4
Theo Johnson,WR/TE,96.75,121.5
Brenton Strange,WR/TE,100.4,139.7
Mason Taylor,WR/TE,147.46,129.9
Josh Allen,QB,325.07,365.5
Jalen Hurts,QB,325.07,363.2
Lamar Jackson,QB,325.07,362.7
Dak Prescott,QB,236.7,284.4
Patrick Mahomes II,QB,298.03,322.6
Jordan Love,QB,265.81,262.1
Joe Burrow,QB,256.57,328.8
Kyler Murray,QB,303.14,306.9
Brock Purdy,QB,295.9,307.5
C.J. Stroud,QB,264.83,271.9
Jayden Daniels,QB,318.65,366.3
Caleb Williams,QB,284.02,279.8
Jared Goff,QB,262.11,260.6
Anthony Richardson,QB,190.31,180.7
Trevor Lawrence,QB,262.29,278.4
Tua Tagovailoa,QB,262.11,274.5
Baker Mayfield,QB,295.9,311.0
Justin Herbert,QB,278.09,283.6
Matthew Stafford,QB,257.54,275.5
Will Levis,QB,0.0,0.0
Daniel Jones,QB,182.11,108.7
Geno Smith,QB,259.98,256.8
Russell Wilson,QB,197.76,120.0
Kirk Cousins,QB,105.97,82.0
Bryce Young,QB,257.3,266.1
Deshaun Watson,QB,110.36,88.0
Drake Maye,QB,263.08,274.3
Justin Fields,QB,272.54,297.4
Sam Howell,QB,71.28,15.7
Aidan O'Connell,QB,71.28,15.9
Drew Lock,QB,116.41,88.0
Bo Nix,QB,295.63,299.8
Sam Darnold,QB,254.54,245.9
Aaron Rodgers,QB,246.22,231.5
Michael Penix Jr.,QB,248.16,251.0
J.J. McCarthy,QB,245.11,281.8
Cam Ward,QB,248.16,255.0
Tyler Shough,QB,238.11,152.2
Jaxon Dart,QB,152.12,130.5
